,year,month,day,name,location,country,elevation,type,status,total_deaths,total_deaths_description,total_injuries_description,total_damage_description,total_houses_destroyed_description,Tsunami caused?,Earthquake caused?,Volcano Explosive Index,longitude,latitude,total
19,-4360,,,Macauley Island,Kermadec Is,New Zealand,238,Caldera,Holocene,,,,,,no,no,6,-178.47,-30.2,3
1,-4350,,,Kikai,Ryukyu Is,Japan,717,Caldera,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),Many (~101 to 1000 houses),no,no,7,130.28,30.78,10
12,-4050,,,Masaya,Nicaragua,Nicaragua,635,Caldera,Historical,,,,,,no,no,6,-86.161,11.984,3
2,-4000,,,Pago,New Britain-SW Pac,Papua New Guinea,742,Caldera,Historical,,Few (~1 to 50 deaths),,LIMITED (roughly corresponding to less than $1 million),,no,no,6,150.52,-5.58,8
14,-3580,,,Taal,Luzon-Philippines,Philippines,400,Stratovolcano,Historical,,,,,,no,no,6,120.993,14.002,3
21,-2420,,,Vesuvius,Italy,Italy,1281,Complex volcano,Historical,,,,,,no,no,5,14.426,40.821,3
13,-2040,,,Long Island,New Guinea-NE of,Papua New Guinea,1280,Complex volcano,Historical,,,,,,no,no,6,147.12,-5.358,3
15,-1900,,,Black Peak,Alaska Peninsula,United States,1032,Stratovolcano,Radiocarbon,,,,,,no,no,6,-158.8,56.53,3
7,-1890,,,"Hudson, Cerro",Chile-S,Chile,1905,Stratovolcano,Historical,,,,,,no,no,6,-72.97,-45.9,3
17,-1860,,,St. Helens,US-Washington,United States,2549,Stratovolcano,Historical,,,,,,no,no,6,-122.18,46.2,3
20,-1750,,,Veniaminof,Alaska Peninsula,United States,2507,Stratovolcano,Historical,,,,,,no,no,6,-159.38,56.17,3
11,-1645,,,Aniakchak,Alaska Peninsula,United States,1341,Caldera,Historical,,,,,,no,no,6,-158.17,56.88,3
0,-1610,,,Santorini,Greece,Greece,329,Shield volcano,Historical,,Many (~101 to 1000 deaths),,SEVERE (~>$5 to $24 million),,yes,yes,7,25.396,36.404,10
8,-1550,,,Redoubt,Alaska-SW,United States,3108,Stratovolcano,Historical,,,,,,no,no,0,-152.75,60.48,3
16,-1460,,,Taupo,New Zealand,New Zealand,760,Caldera,Radiocarbon,,,,,,no,no,6,176.0,-38.82,3
